DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3205;P3211;P3216;P3222;P3227;P8752;P3209;P3209S1;P3209S2;P3209S3;P3209S4;P3209S5;P3209S6;P3209S7;P3209S8;P3359;P3359S1;P3359S2;P3359S3;P3359S4;P3359S5;P3359S6;P3359S7;P3359S8;P3359S1A;P3359S2A;P3359S3A;P3359S4A;P3359S5A;P3359S6A;P3359S7A;P3359S8A;P3360;P3360S1;P3360S2;P3360S3;P3360S4;P3360S5;P3360S6;P3360S7;P3360S8;P3361;P3361S1;P3361S2;P3361S3;P3361S4;P3361S5;P3361S6;P3361S7
7627309;1;1;1;53.881.421.063;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;4;4;3;3;3;4;4;3;;;;;;;;;;;;;;;;;
7627310;1;1;1;54.437.612.906;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;4;3;3;4;3;4;4;4;;;;;;;;;;;;;;;;;
7629727;1;1;1;22.435.741.503;1;1;1;2;1;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;2;1;;;;1;;;;
7629728;1;1;1;16.067.791.231;1;1;1;2;1;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;2;1;2;1;2;1;1;1;;1;;;;;;
7629729;1;1;1;18.521.909.223;1;1;1;1;1;;;1;2;3;3;3;3;1;3;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;2;1;2;1;1;1;;;;;;1;;
7629731;1;1;1;21.305.020.979;1;1;1;1;2;;;2;2;2;2;2;2;2;2;;3;3;2;3;2;2;3;3;;;;;;;;;;1;1;2;1;2;1;1;1;;;;;;1;;
7629732;1;1;1;14.585.772.857;1;1;1;1;1;;;6;2;2;5;2;1;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629733;1;1;1;15.717.613.597;1;2;1;2;2;;;6;2;2;2;2;2;2;2;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629734;1;1;1;18.018.478.423;1;2;1;2;2;;;2;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629735;1;1;1;11.760.444.144;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;1;1;3;1;3;1;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629736;1;1;1;13.513.858.817;1;2;1;2;2;;;3;3;3;3;3;3;3;3;;3;3;3;3;3;2;4;3;;;;;;;;;;1;1;2;1;1;1;1;1;;;;;1;;;
7629737;1;1;1;10.492.737.356;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;2;2;2;1;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629738;1;1;1;12.917.873.766;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;4;4;4;3;4;3;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629739;1;1;1;15.259.550.904;1;2;2;1;1;;;2;2;3;2;4;2;2;5;;2;3;2;2;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629740;1;1;1;12.428.416.523;1;1;1;2;1;;;2;2;2;2;2;2;2;2;;1;2;1;2;1;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629741;1;1;1;15.100.871.988;1;2;1;2;2;;;3;3;3;3;3;3;3;3;;3;2;2;2;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629742;1;1;1;12.050.843.423;1;1;1;2;2;;;8;3;5;8;3;3;8;8;;;2;2;;2;2;;;;;;;;;;;;;1;1;;1;1;;;;;;;;;;
7629743;1;1;1;12.865.459.851;1;1;1;2;2;;;3;3;3;3;3;3;3;2;;3;3;3;2;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629744;1;1;1;98.799.588.341;1;2;1;2;2;;;3;3;3;3;3;3;3;3;;3;3;3;3;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629745;1;1;1;13.908.409.576;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;3;3;3;2;3;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629746;1;1;1;1.245.104.016;1;2;1;1;1;;;2;2;2;2;2;2;2;2;;3;2;2;2;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629747;1;1;1;14.556.140.368;2;1;1;2;2;;;3;3;3;3;3;3;3;3;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629748;1;1;1;1.721.165.685;1;1;1;2;2;;;8;2;2;2;2;8;8;8;;;4;2;2;2;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;
7629749;1;1;1;1.511.205.424;1;1;1;2;1;;;2;2;2;2;3;2;2;3;;4;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;2;1;1;1;;;;;1;;;
7629750;1;1;1;1.907.443.863;1;1;1;1;1;;;6;1;2;2;2;2;2;2;;3;3;2;3;2;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629751;1;1;1;1.424.753.677;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;1;1;1;1;1;4;4;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629752;1;1;1;19.054.177.946;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;3;2;2;3;4;2;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629753;1;1;1;15.496.898.555;1;1;1;2;2;;;2;3;8;3;3;2;2;2;;2;2;;1;3;1;1;3;;;;;;;;;;1;1;;1;1;1;1;1;;;;;;;;
7629754;1;1;1;1.687.948.783;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629755;1;1;1;18.327.812.607;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;2;2;2;1;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629756;1;1;1;19.174.518.881;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;2;2;3;3;3;2;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629757;1;1;1;15.341.929.569;1;2;2;2;2;;;3;2;3;3;3;1;1;3;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7629774;1;1;1;88.212.349.945;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;5;;;;;;;;;;;;;;;;;
7629775;1;1;1;8.367.550.897;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;5;2;2;2;2;2;;;;;;;;;;;;;;;;;
7629776;1;1;1;94.741.060.177;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;3;4;3;4;4;3;;;;;;;;;;;;;;;;;
7629778;1;1;1;16.061.714.336;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;4;3;;;;;;;;;;;;;;;;;
7629780;1;1;1;52.663.093.947;2;1;2;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;5;2;;;;;;;;;;;;;;;;;
7629782;1;1;1;64.273.813.731;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629783;1;1;1;11.355.425.586;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;2;2;2;3;3;3;4;3;;;;;;;;;;;;;;;;;
7629784;1;1;1;13.566.254.595;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629785;1;1;1;5.001.783.304;1;2;1;2;1;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629786;1;1;1;13.116.638.712;1;2;1;2;2;4;;;;;;;;;;;;;;;;;;;4;3;2;2;2;3;3;2;;;;;;;;;;;;;;;;;
7629787;1;1;1;55.019.616.344;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629790;1;1;1;70.701.195.105;1;2;2;2;2;4;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7629791;1;1;1;9.521.629.306;1;1;1;2;1;4;;;;;;;;;;;;;;;;;;;2;2;5;2;2;2;2;3;;;;;;;;;;;;;;;;;
7629792;1;1;1;11.714.430.818;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629793;1;1;1;54.437.612.906;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;3;4;;;;;;;;;;;;;;;;;
7629794;1;1;1;16.550.157.282;2;2;1;2;1;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7629795;1;1;1;13.193.614.895;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629796;1;1;1;10.923.785.744;2;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629797;1;1;1;94.452.087.574;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629798;1;1;1;53.881.421.063;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7629799;1;1;1;69.238.593.728;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7629800;1;1;1;53.881.421.063;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;2;2;2;2;2;;;;;;;;;;;;;;;;;
7636284;1;1;1;15.529.446.797;1;1;1;1;1;;;6;3;3;3;3;2;2;3;;4;2;2;2;2;4;4;2;;;;;;;;;;2;1;2;1;2;1;1;1;;;;;;1;;
7636286;1;1;1;11.994.101.892;1;1;1;1;1;;;6;1;1;1;1;1;1;1;;4;4;3;3;3;4;4;4;;;;;;;;;;1;1;2;1;2;1;1;1;;;;;1;;;
7636287;1;1;1;16.206.414.286;1;1;1;2;2;;;1;1;1;1;1;1;1;4;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636288;1;1;1;15.903.157.492;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;2;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636289;1;1;1;16.375.657.913;1;1;2;2;2;;;2;2;2;2;2;2;2;2;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636291;1;1;1;15.106.642.357;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;2;2;1;4;1;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636292;1;1;1;13.646.370.691;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;1;1;2;1;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636297;1;1;1;16.470.326.322;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;2;1;1;1;1;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636298;1;1;1;16.678.910.838;2;1;1;2;1;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636299;1;1;1;13.609.948.779;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636303;1;1;1;14.735.035.722;1;1;1;2;2;;;6;6;4;4;4;4;4;4;;2;2;1;1;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636304;1;1;1;11.525.130.064;1;1;1;2;2;;;3;3;2;2;2;2;2;2;;2;1;1;1;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636306;1;1;1;14.676.380.636;1;1;2;2;2;;;3;3;3;3;3;3;3;3;;1;1;1;1;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636307;1;1;1;17.451.877.862;1;2;1;2;2;;;3;3;3;3;3;3;3;3;;1;1;1;1;2;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636308;1;1;1;1.175.814.069;2;1;1;2;2;;;6;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636311;1;1;1;15.978.765.734;2;2;1;1;1;;;1;1;1;1;1;1;1;1;;4;4;3;3;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636312;1;1;1;16.067.791.231;1;1;1;2;1;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636313;1;1;1;18.940.653.789;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636314;1;1;1;18.953.292.626;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636315;1;1;1;17.775.451.122;1;2;1;2;2;;;2;3;2;2;3;2;3;2;;2;2;1;2;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636316;1;1;1;19.174.518.881;1;1;1;1;2;;;2;2;2;2;2;2;2;2;;4;4;3;3;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636317;1;1;1;16.167.388.464;1;2;1;2;1;;;3;3;5;3;5;2;3;3;;3;3;2;2;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636319;1;1;1;17.853.101.367;1;1;1;2;2;;;3;2;3;3;2;1;3;3;;2;2;3;3;3;2;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636320;1;1;1;1.424.753.677;1;1;1;1;1;;;1;3;4;3;1;1;1;1;;3;2;3;2;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636321;1;1;1;144.800.189;2;1;1;2;2;;;8;8;8;2;1;1;1;1;;;;;4;4;4;4;4;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;
7636323;1;1;1;16.460.587.058;2;1;1;2;2;;;8;8;8;2;4;1;1;4;;;;;3;3;3;3;3;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;
7636324;1;1;1;20.014.693.005;1;1;1;2;1;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636325;1;1;1;18.018.478.423;1;1;1;1;1;;;1;1;1;1;5;1;1;2;;4;4;3;2;3;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636326;1;1;1;15.936.899.731;2;2;1;2;2;;;8;8;8;2;8;2;2;5;;;;;4;;4;4;4;;;;;;;;;;;;;1;;1;1;1;;;;;;;;
7636329;1;1;1;13.044.372.547;1;1;1;2;2;;;3;2;3;1;4;2;3;4;;2;3;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636330;1;1;1;17.104.098.069;1;2;1;2;2;;;3;3;3;3;3;3;3;3;;2;2;2;1;2;1;2;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636331;1;1;1;16.194.708.533;1;1;1;1;1;;;3;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636332;1;1;1;16.067.791.231;1;2;1;1;1;;;8;2;2;4;4;2;8;4;;;4;3;3;3;3;;3;;;;;;;;;;;1;1;1;1;1;;1;;;;;;;;
7636333;1;1;1;15.986.531.057;1;1;1;1;1;;;2;3;6;3;6;2;2;6;;3;2;2;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636334;1;1;1;1.657.122.203;1;1;1;2;1;;;4;4;4;4;4;4;4;4;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636335;1;1;1;20.014.693.005;2;1;1;1;1;;;1;1;2;1;2;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;2;2;1;3;1;1;1;;;1;;;;;
7636336;1;1;1;20.014.693.005;2;2;1;1;1;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636337;1;1;1;165.468.642;1;1;1;2;1;;;2;2;2;2;2;2;2;2;;4;4;3;3;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636338;1;1;1;14.210.249.828;1;1;1;2;2;;;6;1;2;1;2;1;1;2;;2;2;2;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636339;1;1;1;22.421.522.811;2;2;1;2;2;;;8;8;8;3;3;3;3;3;;;;;3;3;3;3;3;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;
7636340;1;1;1;17.123.751.438;1;1;1;1;2;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636341;1;1;1;18.932.946.165;1;2;1;2;2;;;8;8;8;3;3;3;3;3;;;;;1;1;1;1;1;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;
7636342;1;1;1;1.820.743.118;2;2;1;2;2;;;3;3;8;3;4;3;8;5;;4;2;;2;4;2;;2;;;;;;;;;;1;1;;1;1;1;;1;;;;;;;;
7636343;1;1;1;13.135.419.419;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;4;4;3;3;3;4;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636344;1;1;1;19.997.382.512;2;1;1;1;2;;;2;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636345;1;1;1;18.187.905.938;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;3;2;2;2;2;2;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636346;1;1;1;11.793.053.902;1;2;1;2;2;;;3;3;5;3;5;3;3;3;;2;2;2;2;2;1;2;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636347;1;1;1;14.387.877.951;2;1;1;2;2;;;3;3;5;4;4;3;3;4;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636348;1;1;1;16.106.334.035;1;2;1;2;1;;;1;1;1;1;1;1;1;1;;4;4;3;3;3;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636349;1;1;1;19.865.231.091;2;2;1;2;1;;;4;1;4;1;4;1;1;4;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636350;1;1;1;18.018.478.423;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636351;1;1;1;18.953.292.626;2;1;1;2;1;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636352;1;1;1;19.124.063.167;1;1;1;2;1;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636353;1;1;1;16.067.791.231;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;4;4;2;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636354;1;1;1;20.014.693.005;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636355;1;1;1;15.015.398.686;2;1;1;2;1;;;1;1;4;4;4;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636356;1;1;1;1.712.018.022;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;4;3;3;3;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636357;1;1;1;16.067.791.231;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636358;1;1;1;1.704.658.841;1;2;1;2;2;;;2;2;2;2;2;2;2;2;;3;3;2;3;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636359;1;1;1;1.907.443.863;1;2;1;1;1;;;6;1;3;3;3;1;1;3;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;2;1;2;1;1;2;;;;;;1;;
7636360;1;1;1;15.050.373.828;1;2;1;2;1;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636361;1;1;1;139.090.563;1;1;1;2;2;;;3;3;3;3;2;3;3;3;;2;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636362;1;1;1;14.914.099.827;1;1;1;1;2;;;2;2;4;2;4;2;2;2;;1;1;1;2;2;1;2;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636363;1;1;1;1.704.658.841;1;2;1;2;2;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;2;1;1;2;;;;;1;;;
7636364;1;1;1;15.300.954.918;1;1;1;2;2;;;3;3;5;3;5;3;2;5;;2;2;4;3;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636366;1;1;1;17.867.333.028;1;2;1;2;1;;;6;1;2;2;2;1;1;2;;4;4;2;4;2;4;4;2;;;;;;;;;;1;2;2;1;2;1;2;2;;;;;;1;;
7636367;1;1;1;13.990.316.474;1;2;1;2;2;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636368;1;1;1;14.414.782.738;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636369;1;1;1;18.018.478.423;1;2;1;1;2;;;3;3;3;3;3;2;2;3;;2;2;2;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636370;1;1;1;1.738.551.197;1;1;1;2;2;;;8;3;4;3;8;8;8;8;;;2;3;3;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;
7636371;1;1;1;20.130.398.838;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;2;3;2;3;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636372;1;1;1;12.477.176.019;1;1;1;2;2;;;2;2;2;2;2;3;2;2;;3;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636373;1;1;1;19.768.842.178;2;1;1;2;2;;;8;6;6;6;6;6;6;8;;;2;3;1;3;1;2;;;;;;;;;;;;1;1;1;1;1;1;;;;;;;;;
7636374;1;1;1;15.050.373.828;1;2;1;2;1;;;1;1;1;1;1;1;1;1;;4;3;4;3;1;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636375;1;1;1;15.757.566.656;1;1;1;1;1;;;6;2;2;2;2;2;2;2;;4;4;3;4;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636376;1;1;1;14.461.012.107;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;2;1;2;1;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636377;1;1;1;17.257.066.993;1;2;1;1;2;;;2;2;2;2;8;2;2;2;;1;1;2;1;;1;2;2;;;;;;;;;;1;1;1;1;;1;1;1;;;;;;;;
7636379;1;1;1;14.620.534.838;2;1;1;1;1;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636380;1;1;1;16.067.791.231;1;2;1;2;1;;;8;1;1;1;1;1;8;1;;;3;4;4;4;4;;4;;;;;;;;;;;1;1;1;1;1;;1;;;;;;;;
7636381;1;1;1;1.704.658.841;1;1;1;2;2;;;2;1;1;1;1;1;1;1;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636382;1;1;1;16.016.425.265;1;1;1;1;1;;;4;2;4;4;8;1;1;3;;4;2;4;3;;4;4;2;;;;;;;;;;1;1;1;1;;1;1;1;;;;;;;;
7636383;1;1;1;1.308.465.931;1;1;1;1;2;;;2;2;2;2;2;2;2;2;;2;2;3;2;3;2;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636384;1;1;1;20.330.559.339;1;2;1;2;2;;;1;1;4;4;4;1;1;3;;4;3;2;3;2;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636385;1;1;1;16.552.210.163;1;1;1;1;2;;;1;1;1;1;1;1;1;1;;2;2;3;2;3;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636386;1;1;1;16.067.791.231;1;1;1;2;1;;;6;1;1;1;1;1;1;1;;3;3;2;3;2;4;4;4;;;;;;;;;;1;1;2;1;2;1;1;1;;;;;1;;;
7636387;1;1;1;23.968.148.601;2;2;1;1;2;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636388;1;1;1;13.859.083.179;1;1;1;2;2;;;1;1;4;1;4;1;1;4;;2;2;3;2;4;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636389;1;1;1;19.155.139.284;1;1;1;1;1;;;6;3;3;3;3;3;3;3;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636390;1;1;1;18.179.711.646;2;2;1;1;2;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;2;1;2;1;1;1;;1;;;;;;
7636391;1;1;1;15.146.356.932;2;2;1;1;2;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;2;1;2;1;1;2;;1;1;;1;;;
7636392;1;1;1;18.195.175.459;1;2;1;2;1;;;6;3;3;3;3;3;3;3;;4;2;2;1;4;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7636393;1;1;1;16.927.078.654;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;4;3;3;3;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
